,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,DELIVERED_DATE,delivered_in_days,Dispatch_month,Dispatch_weak,Loading_month,Loading_weak
1588,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-06,2021-12-10,2022-01-04,2022-01-14,2022-01-14,2022-01-17,42,12,0,12,4
1589,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-12,2021-12-25,2022-01-22,2022-02-02,2022-02-07,2022-02-09,59,12,6,12,5
1592,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2022-01-01,2022-01-05,2022-01-30,2022-02-05,2022-02-08,2022-02-11,41,1,5,1,2
1598,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-12,2021-12-17,2022-01-04,2022-01-14,2022-01-17,2022-01-19,38,12,6,12,4
1603,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2022-01-01,2022-01-05,2022-01-30,2022-02-12,2022-02-14,2022-02-18,48,1,5,1,2
1605,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-12,2021-12-17,2022-01-09,2022-01-14,2022-01-17,2022-01-19,38,12,6,12,4
1606,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-14,2021-12-17,2022-01-16,2022-01-23,2022-01-25,2022-01-27,44,12,1,12,4
1607,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-12,2021-12-20,2022-01-19,2022-01-27,2022-01-28,2022-02-02,52,12,6,12,0
1615,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-22,2021-11-28,2021-12-31,2022-01-06,2022-01-10,2022-01-11,50,11,0,11,6
1619,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-11-14,2021-11-25,2022-01-11,2022-01-14,2022-01-14,2022-01-18,65,11,6,11,3
1621,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-10,2021-11-12,2022-01-07,2022-01-14,2022-01-17,2022-01-20,71,11,2,11,4
1625,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-28,2022-01-01,2022-02-01,2022-02-12,2022-02-14,2022-02-16,80,11,6,1,5
1630,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-06,2021-12-16,2022-01-18,2022-01-23,2022-01-25,2022-01-26,51,12,0,12,3
1633,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-25,2021-12-01,2022-01-18,2022-01-24,2022-01-26,2022-01-28,64,11,3,12,2
1640,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-12-02,2021-12-06,2022-01-13,1900-01-01,2022-01-27,2022-01-28,57,12,3,12,0
1642,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-29,2021-10-30,2022-01-10,2022-01-14,2022-01-17,2022-01-20,83,10,4,10,5
1645,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-11,2021-12-16,2022-01-17,2022-01-27,2022-01-28,2022-01-31,51,12,5,12,3
1656,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-11,2021-12-16,2022-01-17,1900-01-01,2022-01-31,2022-01-31,51,12,5,12,3
1658,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-26,2022-01-12,2022-01-27,2022-02-08,2022-02-10,2022-02-14,50,12,6,1,2
1672,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-25,2021-12-02,2022-01-17,2022-01-23,2022-01-24,2022-01-24,60,11,3,12,3
1678,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-20,2021-12-23,2022-02-04,2022-02-09,2022-02-10,2022-02-16,58,12,0,12,3
1698,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-09,2021-12-16,2022-01-16,2022-01-23,2022-01-24,2022-01-25,47,12,3,12,3
1729,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-27,2021-12-05,2022-01-19,2022-01-30,2022-01-31,2022-02-01,66,11,5,12,6
1735,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-30,2021-11-04,2022-01-22,2022-01-27,2022-01-29,2022-02-02,95,10,5,11,3
1738,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-11-29,2021-11-29,2022-01-06,2022-01-26,2022-01-28,2022-01-31,63,11,0,11,0
1740,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-11-28,2021-11-29,2022-01-11,1900-01-01,2022-01-28,2022-01-28,61,11,6,11,0
1767,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-28,2022-01-12,2022-01-27,2022-02-02,2022-02-02,2022-02-08,42,12,1,1,2
1768,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-08,2021-12-12,2022-01-31,2022-02-04,2022-02-07,2022-02-09,63,12,2,12,6
1775,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-30,2021-12-02,2022-01-19,2022-01-30,2022-01-31,2022-02-02,64,11,1,12,3
1776,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-26,2021-12-05,2022-01-19,2022-01-30,2022-01-31,2022-02-02,68,11,4,12,6
1777,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2022-01-04,2022-01-12,2022-01-28,2022-02-03,2022-02-07,2022-02-07,34,1,1,1,2
1780,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-26,2022-01-12,2022-01-27,2022-02-01,2022-02-02,2022-02-07,43,12,6,1,2
1787,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-08,2021-12-12,2022-01-31,2022-02-05,2022-02-08,2022-02-10,64,12,2,12,6
1805,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-24,2021-12-28,2022-02-03,2022-02-11,2022-02-11,2022-02-17,55,12,4,12,1
1810,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-22,2021-11-30,2022-02-02,2022-02-12,2022-02-16,2022-02-17,87,11,0,11,1
1813,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-22,2021-12-25,2022-02-06,2022-02-14,2022-02-15,2022-02-17,57,12,2,12,5
